hexal_id,receptor_channel,node_id,node_type,u,v
8,4,2892,R5,-15,8
8,5,3613,R6,-15,8
8,6,4334,R7,-15,8
8,7,5055,R8,-15,8
9,0,9,R1,-15,9
9,1,730,R2,-15,9
9,2,1451,R3,-15,9
9,3,2172,R4,-15,9
9,4,2893,R5,-15,9
9,5,3614,R6,-15,9
9,6,4335,R7,-15,9
9,7,5056,R8,-15,9
10,0,10,R1,-15,10
10,1,731,R2,-15,10
10,2,1452,R3,-15,10
10,3,2173,R4,-15,10
10,4,2894,R5,-15,10
10,5,3615,R6,-15,10
10,6,4336,R7,-15,10
10,7,5057,R8,-15,10
11,0,11,R1,-15,11
11,1,732,R2,-15,11
11,2,1453,R3,-15,11
11,3,2174,R4,-15,11
11,4,2895,R5,-15,11
11,5,3616,R6,-15,11
11,6,4337,R7,-15,11
11,7,5058,R8,-15,11
12,0,12,R1,-15,12
12,1,733,R2,-15,12
12,2,1454,R3,-15,12
12,3,2175,R4,-15,12
12,4,2896,R5,-15,12
12,5,3617,R6,-15,12
12,6,4338,R7,-15,12
12,7,5059,R8,-15,12
13,0,13,R1,-15,13
13,1,734,R2,-15,13
13,2,1455,R3,-15,13
13,3,2176,R4,-15,13
13,4,2897,R5,-15,13
13,5,3618,R6,-15,13
13,6,4339,R7,-15,13
13,7,5060,R8,-15,13
14,0,14,R1,-15,14
14,1,735,R2,-15,14
14,2,1456,R3,-15,14
14,3,2177,R4,-15,14
14,4,2898,R5,-15,14
14,5,3619,R6,-15,14
14,6,4340,R7,-15,14
14,7,5061,R8,-15,14
15,0,15,R1,-15,15
15,1,736,R2,-15,15
15,2,1457,R3,-15,15
15,3,2178,R4,-15,15
15,4,2899,R5,-15,15
15,5,3620,R6,-15,15
15,6,4341,R7,-15,15
15,7,5062,R8,-15,15
16,0,16,R1,-14,-1
16,1,737,R2,-14,-1
16,2,1458,R3,-14,-1
16,3,2179,R4,-14,-1
16,4,2900,R5,-14,-1
16,5,3621,R6,-14,-1
16,6,4342,R7,-14,-1
16,7,5063,R8,-14,-1
17,0,17,R1,-14,0
17,1,738,R2,-14,0
17,2,1459,R3,-14,0
17,3,2180,R4,-14,0
17,4,2901,R5,-14,0
17,5,3622,R6,-14,0
17,6,4343,R7,-14,0
17,7,5064,R8,-14,0
18,0,18,R1,-14,1
18,1,739,R2,-14,1
18,2,1460,R3,-14,1
18,3,2181,R4,-14,1
18,4,2902,R5,-14,1
18,5,3623,R6,-14,1
18,6,4344,R7,-14,1
18,7,5065,R8,-14,1
19,0,19,R1,-14,2
19,1,740,R2,-14,2
19,2,1461,R3,-14,2
19,3,2182,R4,-14,2
19,4,2903,R5,-14,2
19,5,3624,R6,-14,2
19,6,4345,R7,-14,2
19,7,5066,R8,-14,2
20,0,20,R1,-14,3
20,1,741,R2,-14,3
20,2,1462,R3,-14,3
20,3,2183,R4,-14,3
20,4,2904,R5,-14,3
20,5,3625,R6,-14,3
20,6,4346,R7,-14,3
20,7,5067,R8,-14,3
21,0,21,R1,-14,4
21,1,742,R2,-14,4
21,2,1463,R3,-14,4
21,3,2184,R4,-14,4
21,4,2905,R5,-14,4
21,5,3626,R6,-14,4
21,6,4347,R7,-14,4
21,7,5068,R8,-14,4
22,0,22,R1,-14,5
22,1,743,R2,-14,5
22,2,1464,R3,-14,5
22,3,2185,R4,-14,5
22,4,2906,R5,-14,5
22,5,3627,R6,-14,5
22,6,4348,R7,-14,5
22,7,5069,R8,-14,5
23,0,23,R1,-14,6
23,1,744,R2,-14,6
23,2,1465,R3,-14,6
23,3,2186,R4,-14,6
23,4,2907,R5,-14,6
23,5,3628,R6,-14,6
23,6,4349,R7,-14,6
23,7,5070,R8,-14,6
24,0,24,R1,-14,7
24,1,745,R2,-14,7
24,2,1466,R3,-14,7
24,3,2187,R4,-14,7
24,4,2908,R5,-14,7
24,5,3629,R6,-14,7
24,6,4350,R7,-14,7
24,7,5071,R8,-14,7
25,0,25,R1,-14,8
25,1,746,R2,-14,8
25,2,1467,R3,-14,8
25,3,2188,R4,-14,8
25,4,2909,R5,-14,8
25,5,3630,R6,-14,8
25,6,4351,R7,-14,8
25,7,5072,R8,-14,8
26,0,26,R1,-14,9
26,1,747,R2,-14,9
26,2,1468,R3,-14,9
26,3,2189,R4,-14,9
26,4,2910,R5,-14,9
26,5,3631,R6,-14,9
26,6,4352,R7,-14,9
26,7,5073,R8,-14,9
27,0,27,R1,-14,10
27,1,748,R2,-14,10
27,2,1469,R3,-14,10
27,3,2190,R4,-14,10
27,4,2911,R5,-14,10
27,5,3632,R6,-14,10
27,6,4353,R7,-14,10
27,7,5074,R8,-14,10
28,0,28,R1,-14,11
28,1,749,R2,-14,11
28,2,1470,R3,-14,11
28,3,2191,R4,-14,11
28,4,2912,R5,-14,11
28,5,3633,R6,-14,11
28,6,4354,R7,-14,11
28,7,5075,R8,-14,11
29,0,29,R1,-14,12
29,1,750,R2,-14,12
29,2,1471,R3,-14,12
29,3,2192,R4,-14,12
29,4,2913,R5,-14,12
29,5,3634,R6,-14,12
29,6,4355,R7,-14,12
29,7,5076,R8,-14,12
30,0,30,R1,-14,13
30,1,751,R2,-14,13
30,2,1472,R3,-14,13
30,3,2193,R4,-14,13
30,4,2914,R5,-14,13
30,5,3635,R6,-14,13
30,6,4356,R7,-14,13
30,7,5077,R8,-14,13
31,0,31,R1,-14,14
31,1,752,R2,-14,14
31,2,1473,R3,-14,14
31,3,2194,R4,-14,14
31,4,2915,R5,-14,14
31,5,3636,R6,-14,14
31,6,4357,R7,-14,14
31,7,5078,R8,-14,14
32,0,32,R1,-14,15
32,1,753,R2,-14,15
32,2,1474,R3,-14,15
32,3,2195,R4,-14,15
32,4,2916,R5,-14,15
32,5,3637,R6,-14,15
32,6,4358,R7,-14,15
32,7,5079,R8,-14,15
33,0,33,R1,-13,-2
33,1,754,R2,-13,-2
33,2,1475,R3,-13,-2
33,3,2196,R4,-13,-2
33,4,2917,R5,-13,-2
33,5,3638,R6,-13,-2
33,6,4359,R7,-13,-2
33,7,5080,R8,-13,-2
34,0,34,R1,-13,-1
34,1,755,R2,-13,-1
34,2,1476,R3,-13,-1
34,3,2197,R4,-13,-1
34,4,2918,R5,-13,-1
34,5,3639,R6,-13,-1
34,6,4360,R7,-13,-1
34,7,5081,R8,-13,-1
35,0,35,R1,-13,0
35,1,756,R2,-13,0
35,2,1477,R3,-13,0
35,3,2198,R4,-13,0
35,4,2919,R5,-13,0
35,5,3640,R6,-13,0
35,6,4361,R7,-13,0
35,7,5082,R8,-13,0
36,0,36,R1,-13,1
36,1,757,R2,-13,1
36,2,1478,R3,-13,1
36,3,2199,R4,-13,1
36,4,2920,R5,-13,1
36,5,3641,R6,-13,1
36,6,4362,R7,-13,1
36,7,5083,R8,-13,1
37,0,37,R1,-13,2
37,1,758,R2,-13,2
37,2,1479,R3,-13,2
37,3,2200,R4,-13,2
37,4,2921,R5,-13,2
37,5,3642,R6,-13,2
37,6,4363,R7,-13,2
37,7,5084,R8,-13,2
38,0,38,R1,-13,3
38,1,759,R2,-13,3
38,2,1480,R3,-13,3
38,3,2201,R4,-13,3
38,4,2922,R5,-13,3
38,5,3643,R6,-13,3
38,6,4364,R7,-13,3
38,7,5085,R8,-13,3
39,0,39,R1,-13,4
39,1,760,R2,-13,4
39,2,1481,R3,-13,4
39,3,2202,R4,-13,4
39,4,2923,R5,-13,4
39,5,3644,R6,-13,4
39,6,4365,R7,-13,4
39,7,5086,R8,-13,4
40,0,40,R1,-13,5
40,1,761,R2,-13,5
40,2,1482,R3,-13,5
40,3,2203,R4,-13,5
40,4,2924,R5,-13,5
40,5,3645,R6,-13,5
40,6,4366,R7,-13,5
40,7,5087,R8,-13,5
41,0,41,R1,-13,6
41,1,762,R2,-13,6
41,2,1483,R3,-13,6
41,3,2204,R4,-13,6
41,4,2925,R5,-13,6
41,5,3646,R6,-13,6
41,6,4367,R7,-13,6
41,7,5088,R8,-13,6
42,0,42,R1,-13,7
42,1,763,R2,-13,7
42,2,1484,R3,-13,7
42,3,2205,R4,-13,7
42,4,2926,R5,-13,7
42,5,3647,R6,-13,7
42,6,4368,R7,-13,7
42,7,5089,R8,-13,7
43,0,43,R1,-13,8
43,1,764,R2,-13,8
43,2,1485,R3,-13,8
43,3,2206,R4,-13,8
43,4,2927,R5,-13,8
43,5,3648,R6,-13,8
43,6,4369,R7,-13,8
43,7,5090,R8,-13,8
44,0,44,R1,-13,9
44,1,765,R2,-13,9
44,2,1486,R3,-13,9
44,3,2207,R4,-13,9
44,4,2928,R5,-13,9
44,5,3649,R6,-13,9
44,6,4370,R7,-13,9
44,7,5091,R8,-13,9
45,0,45,R1,-13,10
45,1,766,R2,-13,10
45,2,1487,R3,-13,10
45,3,2208,R4,-13,10
45,4,2929,R5,-13,10
45,5,3650,R6,-13,10
45,6,4371,R7,-13,10
45,7,5092,R8,-13,10
46,0,46,R1,-13,11
46,1,767,R2,-13,11
46,2,1488,R3,-13,11
46,3,2209,R4,-13,11
46,4,2930,R5,-13,11
46,5,3651,R6,-13,11
46,6,4372,R7,-13,11
46,7,5093,R8,-13,11
47,0,47,R1,-13,12
47,1,768,R2,-13,12
47,2,1489,R3,-13,12
47,3,2210,R4,-13,12
47,4,2931,R5,-13,12
47,5,3652,R6,-13,12
47,6,4373,R7,-13,12
47,7,5094,R8,-13,12
48,0,48,R1,-13,13
48,1,769,R2,-13,13
48,2,1490,R3,-13,13
48,3,2211,R4,-13,13
48,4,2932,R5,-13,13
48,5,3653,R6,-13,13
48,6,4374,R7,-13,13
48,7,5095,R8,-13,13
49,0,49,R1,-13,14
49,1,770,R2,-13,14
49,2,1491,R3,-13,14
49,3,2212,R4,-13,14
49,4,2933,R5,-13,14
49,5,3654,R6,-13,14
49,6,4375,R7,-13,14
49,7,5096,R8,-13,14
50,0,50,R1,-13,15
50,1,771,R2,-13,15
50,2,1492,R3,-13,15
50,3,2213,R4,-13,15
50,4,2934,R5,-13,15
50,5,3655,R6,-13,15
50,6,4376,R7,-13,15
50,7,5097,R8,-13,15
51,0,51,R1,-12,-3
51,1,772,R2,-12,-3
51,2,1493,R3,-12,-3
51,3,2214,R4,-12,-3
51,4,2935,R5,-12,-3
51,5,3656,R6,-12,-3
51,6,4377,R7,-12,-3
51,7,5098,R8,-12,-3
52,0,52,R1,-12,-2
52,1,773,R2,-12,-2
52,2,1494,R3,-12,-2
52,3,2215,R4,-12,-2
52,4,2936,R5,-12,-2
52,5,3657,R6,-12,-2
52,6,4378,R7,-12,-2
52,7,5099,R8,-12,-2
53,0,53,R1,-12,-1
53,1,774,R2,-12,-1
53,2,1495,R3,-12,-1
53,3,2216,R4,-12,-1
53,4,2937,R5,-12,-1
53,5,3658,R6,-12,-1
53,6,4379,R7,-12,-1
53,7,5100,R8,-12,-1
54,0,54,R1,-12,0
54,1,775,R2,-12,0
54,2,1496,R3,-12,0
54,3,2217,R4,-12,0
54,4,2938,R5,-12,0
54,5,3659,R6,-12,0
54,6,4380,R7,-12,0
54,7,5101,R8,-12,0
55,0,55,R1,-12,1
55,1,776,R2,-12,1
55,2,1497,R3,-12,1
55,3,2218,R4,-12,1
55,4,2939,R5,-12,1
55,5,3660,R6,-12,1
55,6,4381,R7,-12,1
55,7,5102,R8,-12,1
56,0,56,R1,-12,2
56,1,777,R2,-12,2
56,2,1498,R3,-12,2
56,3,2219,R4,-12,2
56,4,2940,R5,-12,2
56,5,3661,R6,-12,2
56,6,4382,R7,-12,2
56,7,5103,R8,-12,2
57,0,57,R1,-12,3
57,1,778,R2,-12,3
57,2,1499,R3,-12,3
57,3,2220,R4,-12,3
57,4,2941,R5,-12,3
57,5,3662,R6,-12,3
57,6,4383,R7,-12,3
57,7,5104,R8,-12,3
58,0,58,R1,-12,4
58,1,779,R2,-12,4
58,2,1500,R3,-12,4
58,3,2221,R4,-12,4
58,4,2942,R5,-12,4
58,5,3663,R6,-12,4
58,6,4384,R7,-12,4
58,7,5105,R8,-12,4
59,0,59,R1,-12,5
59,1,780,R2,-12,5
59,2,1501,R3,-12,5
59,3,2222,R4,-12,5
59,4,2943,R5,-12,5
59,5,3664,R6,-12,5
59,6,4385,R7,-12,5
59,7,5106,R8,-12,5
60,0,60,R1,-12,6
60,1,781,R2,-12,6
60,2,1502,R3,-12,6
60,3,2223,R4,-12,6
60,4,2944,R5,-12,6
60,5,3665,R6,-12,6
60,6,4386,R7,-12,6
60,7,5107,R8,-12,6
61,0,61,R1,-12,7
61,1,782,R2,-12,7
61,2,1503,R3,-12,7
61,3,2224,R4,-12,7
61,4,2945,R5,-12,7
61,5,3666,R6,-12,7
61,6,4387,R7,-12,7
61,7,5108,R8,-12,7
62,0,62,R1,-12,8
62,1,783,R2,-12,8
62,2,1504,R3,-12,8
62,3,2225,R4,-12,8
62,4,2946,R5,-12,8
62,5,3667,R6,-12,8
62,6,4388,R7,-12,8
62,7,5109,R8,-12,8
63,0,63,R1,-12,9
63,1,784,R2,-12,9
63,2,1505,R3,-12,9
63,3,2226,R4,-12,9
63,4,2947,R5,-12,9
63,5,3668,R6,-12,9
63,6,4389,R7,-12,9
63,7,5110,R8,-12,9
64,0,64,R1,-12,10
64,1,785,R2,-12,10
64,2,1506,R3,-12,10
64,3,2227,R4,-12,10
64,4,2948,R5,-12,10
64,5,3669,R6,-12,10
64,6,4390,R7,-12,10
64,7,5111,R8,-12,10
65,0,65,R1,-12,11
65,1,786,R2,-12,11
65,2,1507,R3,-12,11
65,3,2228,R4,-12,11
65,4,2949,R5,-12,11
65,5,3670,R6,-12,11
65,6,4391,R7,-12,11
65,7,5112,R8,-12,11
66,0,66,R1,-12,12
66,1,787,R2,-12,12
66,2,1508,R3,-12,12
66,3,2229,R4,-12,12
66,4,2950,R5,-12,12
66,5,3671,R6,-12,12
66,6,4392,R7,-12,12
66,7,5113,R8,-12,12
67,0,67,R1,-12,13
67,1,788,R2,-12,13
67,2,1509,R3,-12,13
67,3,2230,R4,-12,13
67,4,2951,R5,-12,13
67,5,3672,R6,-12,13
67,6,4393,R7,-12,13
67,7,5114,R8,-12,13
68,0,68,R1,-12,14
68,1,789,R2,-12,14
68,2,1510,R3,-12,14
68,3,2231,R4,-12,14
68,4,2952,R5,-12,14
68,5,3673,R6,-12,14
68,6,4394,R7,-12,14
68,7,5115,R8,-12,14
69,0,69,R1,-12,15
69,1,790,R2,-12,15
69,2,1511,R3,-12,15
69,3,2232,R4,-12,15
69,4,2953,R5,-12,15
69,5,3674,R6,-12,15
69,6,4395,R7,-12,15
69,7,5116,R8,-12,15
70,0,70,R1,-11,-4
70,1,791,R2,-11,-4
70,2,1512,R3,-11,-4
70,3,2233,R4,-11,-4
70,4,2954,R5,-11,-4
70,5,3675,R6,-11,-4
70,6,4396,R7,-11,-4
70,7,5117,R8,-11,-4
71,0,71,R1,-11,-3
71,1,792,R2,-11,-3
71,2,1513,R3,-11,-3
71,3,2234,R4,-11,-3
71,4,2955,R5,-11,-3
71,5,3676,R6,-11,-3
71,6,4397,R7,-11,-3
71,7,5118,R8,-11,-3
72,0,72,R1,-11,-2
72,1,793,R2,-11,-2
72,2,1514,R3,-11,-2
72,3,2235,R4,-11,-2
72,4,2956,R5,-11,-2
72,5,3677,R6,-11,-2
72,6,4398,R7,-11,-2
72,7,5119,R8,-11,-2
73,0,73,R1,-11,-1
73,1,794,R2,-11,-1
73,2,1515,R3,-11,-1
73,3,2236,R4,-11,-1
73,4,2957,R5,-11,-1
73,5,3678,R6,-11,-1
73,6,4399,R7,-11,-1
73,7,5120,R8,-11,-1
74,0,74,R1,-11,0
74,1,795,R2,-11,0
74,2,1516,R3,-11,0
74,3,2237,R4,-11,0
74,4,2958,R5,-11,0
74,5,3679,R6,-11,0
74,6,4400,R7,-11,0
74,7,5121,R8,-11,0
75,0,75,R1,-11,1
75,1,796,R2,-11,1
75,2,1517,R3,-11,1
75,3,2238,R4,-11,1
75,4,2959,R5,-11,1
75,5,3680,R6,-11,1
75,6,4401,R7,-11,1
75,7,5122,R8,-11,1
76,0,76,R1,-11,2
76,1,797,R2,-11,2
76,2,1518,R3,-11,2
76,3,2239,R4,-11,2
76,4,2960,R5,-11,2
76,5,3681,R6,-11,2
76,6,4402,R7,-11,2
76,7,5123,R8,-11,2
77,0,77,R1,-11,3
77,1,798,R2,-11,3
77,2,1519,R3,-11,3
77,3,2240,R4,-11,3
77,4,2961,R5,-11,3
77,5,3682,R6,-11,3
77,6,4403,R7,-11,3
77,7,5124,R8,-11,3
78,0,78,R1,-11,4
78,1,799,R2,-11,4
78,2,1520,R3,-11,4
78,3,2241,R4,-11,4
78,4,2962,R5,-11,4
78,5,3683,R6,-11,4
78,6,4404,R7,-11,4
78,7,5125,R8,-11,4
79,0,79,R1,-11,5
79,1,800,R2,-11,5
79,2,1521,R3,-11,5
79,3,2242,R4,-11,5
79,4,2963,R5,-11,5
79,5,3684,R6,-11,5
79,6,4405,R7,-11,5
79,7,5126,R8,-11,5
80,0,80,R1,-11,6
80,1,801,R2,-11,6
80,2,1522,R3,-11,6
80,3,2243,R4,-11,6
80,4,2964,R5,-11,6
80,5,3685,R6,-11,6
80,6,4406,R7,-11,6
80,7,5127,R8,-11,6
81,0,81,R1,-11,7
81,1,802,R2,-11,7
81,2,1523,R3,-11,7
81,3,2244,R4,-11,7
81,4,2965,R5,-11,7
81,5,3686,R6,-11,7
81,6,4407,R7,-11,7
81,7,5128,R8,-11,7
82,0,82,R1,-11,8
82,1,803,R2,-11,8
82,2,1524,R3,-11,8
82,3,2245,R4,-11,8
82,4,2966,R5,-11,8
82,5,3687,R6,-11,8
82,6,4408,R7,-11,8
82,7,5129,R8,-11,8
83,0,83,R1,-11,9
83,1,804,R2,-11,9
83,2,1525,R3,-11,9
83,3,2246,R4,-11,9
83,4,2967,R5,-11,9
83,5,3688,R6,-11,9
83,6,4409,R7,-11,9
83,7,5130,R8,-11,9
84,0,84,R1,-11,10
84,1,805,R2,-11,10
84,2,1526,R3,-11,10
84,3,2247,R4,-11,10
84,4,2968,R5,-11,10
84,5,3689,R6,-11,10
84,6,4410,R7,-11,10
84,7,5131,R8,-11,10
85,0,85,R1,-11,11
85,1,806,R2,-11,11
85,2,1527,R3,-11,11
85,3,2248,R4,-11,11
85,4,2969,R5,-11,11
85,5,3690,R6,-11,11
85,6,4411,R7,-11,11
85,7,5132,R8,-11,11
86,0,86,R1,-11,12
86,1,807,R2,-11,12
86,2,1528,R3,-11,12
86,3,2249,R4,-11,12
86,4,2970,R5,-11,12
86,5,3691,R6,-11,12
86,6,4412,R7,-11,12
86,7,5133,R8,-11,12
87,0,87,R1,-11,13
87,1,808,R2,-11,13
87,2,1529,R3,-11,13
87,3,2250,R4,-11,13
87,4,2971,R5,-11,13
87,5,3692,R6,-11,13
87,6,4413,R7,-11,13
87,7,5134,R8,-11,13
88,0,88,R1,-11,14
88,1,809,R2,-11,14
88,2,1530,R3,-11,14
88,3,2251,R4,-11,14
88,4,2972,R5,-11,14
88,5,3693,R6,-11,14
88,6,4414,R7,-11,14
88,7,5135,R8,-11,14
89,0,89,R1,-11,15
89,1,810,R2,-11,15
89,2,1531,R3,-11,15
89,3,2252,R4,-11,15
89,4,2973,R5,-11,15
89,5,3694,R6,-11,15
89,6,4415,R7,-11,15
89,7,5136,R8,-11,15
90,0,90,R1,-10,-5
90,1,811,R2,-10,-5
90,2,1532,R3,-10,-5
90,3,2253,R4,-10,-5
90,4,2974,R5,-10,-5
90,5,3695,R6,-10,-5
90,6,4416,R7,-10,-5
90,7,5137,R8,-10,-5
91,0,91,R1,-10,-4
91,1,812,R2,-10,-4
91,2,1533,R3,-10,-4
91,3,2254,R4,-10,-4
91,4,2975,R5,-10,-4
91,5,3696,R6,-10,-4
91,6,4417,R7,-10,-4
91,7,5138,R8,-10,-4
92,0,92,R1,-10,-3
92,1,813,R2,-10,-3
92,2,1534,R3,-10,-3
92,3,2255,R4,-10,-3
92,4,2976,R5,-10,-3
92,5,3697,R6,-10,-3
92,6,4418,R7,-10,-3
92,7,5139,R8,-10,-3
93,0,93,R1,-10,-2
93,1,814,R2,-10,-2
93,2,1535,R3,-10,-2
93,3,2256,R4,-10,-2
93,4,2977,R5,-10,-2
93,5,3698,R6,-10,-2
93,6,4419,R7,-10,-2
93,7,5140,R8,-10,-2
94,0,94,R1,-10,-1
94,1,815,R2,-10,-1
94,2,1536,R3,-10,-1
94,3,2257,R4,-10,-1
94,4,2978,R5,-10,-1
94,5,3699,R6,-10,-1
94,6,4420,R7,-10,-1
94,7,5141,R8,-10,-1
95,0,95,R1,-10,0
95,1,816,R2,-10,0
95,2,1537,R3,-10,0
95,3,2258,R4,-10,0
95,4,2979,R5,-10,0
95,5,3700,R6,-10,0
95,6,4421,R7,-10,0
95,7,5142,R8,-10,0
96,0,96,R1,-10,1
96,1,817,R2,-10,1
96,2,1538,R3,-10,1
96,3,2259,R4,-10,1
96,4,2980,R5,-10,1
96,5,3701,R6,-10,1
96,6,4422,R7,-10,1
96,7,5143,R8,-10,1
97,0,97,R1,-10,2
97,1,818,R2,-10,2
97,2,1539,R3,-10,2
97,3,2260,R4,-10,2
97,4,2981,R5,-10,2
97,5,3702,R6,-10,2
97,6,4423,R7,-10,2
97,7,5144,R8,-10,2
98,0,98,R1,-10,3
98,1,819,R2,-10,3
98,2,1540,R3,-10,3
98,3,2261,R4,-10,3
98,4,2982,R5,-10,3
98,5,3703,R6,-10,3
98,6,4424,R7,-10,3
98,7,5145,R8,-10,3
99,0,99,R1,-10,4
99,1,820,R2,-10,4
99,2,1541,R3,-10,4
99,3,2262,R4,-10,4
99,4,2983,R5,-10,4
99,5,3704,R6,-10,4
99,6,4425,R7,-10,4
99,7,5146,R8,-10,4
100,0,100,R1,-10,5
100,1,821,R2,-10,5
100,2,1542,R3,-10,5
100,3,2263,R4,-10,5
100,4,2984,R5,-10,5
100,5,3705,R6,-10,5
100,6,4426,R7,-10,5
100,7,5147,R8,-10,5
101,0,101,R1,-10,6
101,1,822,R2,-10,6
101,2,1543,R3,-10,6
101,3,2264,R4,-10,6
101,4,2985,R5,-10,6
101,5,3706,R6,-10,6
101,6,4427,R7,-10,6
101,7,5148,R8,-10,6
102,0,102,R1,-10,7
102,1,823,R2,-10,7
102,2,1544,R3,-10,7
102,3,2265,R4,-10,7
102,4,2986,R5,-10,7
102,5,3707,R6,-10,7
102,6,4428,R7,-10,7
102,7,5149,R8,-10,7
103,0,103,R1,-10,8
103,1,824,R2,-10,8
103,2,1545,R3,-10,8
103,3,2266,R4,-10,8
103,4,2987,R5,-10,8
103,5,3708,R6,-10,8
103,6,4429,R7,-10,8
103,7,5150,R8,-10,8
104,0,104,R1,-10,9
104,1,825,R2,-10,9
104,2,1546,R3,-10,9
104,3,2267,R4,-10,9
104,4,2988,R5,-10,9
104,5,3709,R6,-10,9
104,6,4430,R7,-10,9
104,7,5151,R8,-10,9
105,0,105,R1,-10,10
105,1,826,R2,-10,10
105,2,1547,R3,-10,10
105,3,2268,R4,-10,10
105,4,2989,R5,-10,10
105,5,3710,R6,-10,10
105,6,4431,R7,-10,10
105,7,5152,R8,-10,10
106,0,106,R1,-10,11
106,1,827,R2,-10,11
106,2,1548,R3,-10,11
106,3,2269,R4,-10,11
106,4,2990,R5,-10,11
106,5,3711,R6,-10,11
106,6,4432,R7,-10,11
106,7,5153,R8,-10,11
107,0,107,R1,-10,12
107,1,828,R2,-10,12
107,2,1549,R3,-10,12
107,3,2270,R4,-10,12
107,4,2991,R5,-10,12
107,5,3712,R6,-10,12
107,6,4433,R7,-10,12
107,7,5154,R8,-10,12
108,0,108,R1,-10,13
108,1,829,R2,-10,13
108,2,1550,R3,-10,13
108,3,2271,R4,-10,13
108,4,2992,R5,-10,13
108,5,3713,R6,-10,13
108,6,4434,R7,-10,13
108,7,5155,R8,-10,13
109,0,109,R1,-10,14
109,1,830,R2,-10,14
109,2,1551,R3,-10,14
109,3,2272,R4,-10,14
109,4,2993,R5,-10,14
109,5,3714,R6,-10,14
109,6,4435,R7,-10,14
109,7,5156,R8,-10,14
110,0,110,R1,-10,15
110,1,831,R2,-10,15
110,2,1552,R3,-10,15
110,3,2273,R4,-10,15
110,4,2994,R5,-10,15
110,5,3715,R6,-10,15
110,6,4436,R7,-10,15
110,7,5157,R8,-10,15
111,0,111,R1,-9,-6
111,1,832,R2,-9,-6
111,2,1553,R3,-9,-6
111,3,2274,R4,-9,-6
111,4,2995,R5,-9,-6
111,5,3716,R6,-9,-6
111,6,4437,R7,-9,-6
111,7,5158,R8,-9,-6
112,0,112,R1,-9,-5
112,1,833,R2,-9,-5
112,2,1554,R3,-9,-5
112,3,2275,R4,-9,-5
112,4,2996,R5,-9,-5
112,5,3717,R6,-9,-5
112,6,4438,R7,-9,-5
112,7,5159,R8,-9,-5
113,0,113,R1,-9,-4
113,1,834,R2,-9,-4
113,2,1555,R3,-9,-4
113,3,2276,R4,-9,-4
113,4,2997,R5,-9,-4
113,5,3718,R6,-9,-4
113,6,4439,R7,-9,-4
113,7,5160,R8,-9,-4
114,0,114,R1,-9,-3
114,1,835,R2,-9,-3
114,2,1556,R3,-9,-3
114,3,2277,R4,-9,-3
114,4,2998,R5,-9,-3
114,5,3719,R6,-9,-3
114,6,4440,R7,-9,-3
114,7,5161,R8,-9,-3
115,0,115,R1,-9,-2
115,1,836,R2,-9,-2
115,2,1557,R3,-9,-2
115,3,2278,R4,-9,-2
115,4,2999,R5,-9,-2
115,5,3720,R6,-9,-2
115,6,4441,R7,-9,-2
115,7,5162,R8,-9,-2
116,0,116,R1,-9,-1
116,1,837,R2,-9,-1
116,2,1558,R3,-9,-1
116,3,2279,R4,-9,-1
116,4,3000,R5,-9,-1
116,5,3721,R6,-9,-1
